,dataset_name,k-fold,train_time,acc,TPR,FPR,Presicion,AUC,Area under PR,Inferece time
0,Rps,1,171.70780539512634,0.8413792848587036,0.8413793103448276,0.07931034482758621,0.8413793103448276,0.989000858364641,0.980375110555872,0.5218884944915771
1,Rps,2,173.40063524246216,0.934482753276825,0.9344827586206896,0.032758620689655175,0.9344827586206896,0.9919631251891815,0.9835802833096098,0.5322108268737793
2,Rps,3,170.34991574287415,0.9411764740943909,0.9411764705882353,0.029411764705882353,0.9411764705882353,0.9898020048786567,0.9864772545088417,1.3533990383148193
3,Rps,4,171.022465467453,0.7301037907600403,0.7301038062283737,0.13494809688581316,0.7301038062283737,0.985442298903786,0.9764996781100984,0.5362238883972168
4,Rps,5,171.40439009666443,0.7647058963775635,0.7647058823529411,0.11764705882352941,0.7647058823529411,0.9797285542379622,0.962106754655534,0.542149543762207
5,Rps,6,172.04783415794373,0.6574394702911377,0.657439446366782,0.17128027681660898,0.657439446366782,0.9874820277584888,0.9804897602853339,0.5360257625579834
6,Rps,7,171.63124895095825,0.8823529481887817,0.8823529411764706,0.058823529411764705,0.8823529411764706,0.9889854641846055,0.9804189836921275,0.5344743728637695
7,Rps,8,171.1975862979889,0.7854671478271484,0.7854671280276817,0.10726643598615918,0.7854671280276817,0.9888200231172362,0.9795975341791676,0.5354928970336914
8,Rps,9,170.56202912330627,0.9031141996383667,0.903114186851211,0.04844290657439446,0.903114186851211,0.9902558549816307,0.9843727921773576,0.5308315753936768
9,Rps,10,172.3456642627716,0.5916954874992371,0.5916955017301038,0.2041522491349481,0.5916955017301038,0.9230355913442421,0.8523483846602647,0.5372037887573242
